uri,acousticness,valence,danceability,energy,key,instrumentalness,liveness,loudness,speechiness,tempo,duration_ms,mood
spotify:track:0FkJp8j6TOpRWPCln1t9WB,0.18,0.177,0.705,0.504,10,0.00393,0.126,-11.33,0.0323,133.077,227947,happy
spotify:track:1R4hG0ZP1PBrP14eeOhdB5,0.00549,0.826,0.511,0.813,0,0.00207,0.0969,-6.78,0.0357,121.801,184868,happy
spotify:track:2rwPOgMZHP8mFAYneg8bvh,0.16,0.854,0.87,0.572,6,0.00282,0.0993,-7.667,0.039,119.98,198582,happy
spotify:track:0GO8y8jQk1PkHzS31d699N,0.00847,0.371,0.56,0.936,3,0,0.161,-5.835,0.0439,112.96,218013,happy
spotify:track:0PywzrV955BnXDC8FHAf0n,0.0579,0.745,0.563,0.727,6,7.59E-06,0.0937,-4.202,0.036,82.311,223120,happy
spotify:track:3n69hLUdIsSa1WlRmjMZlW,0.096,0.286,0.616,0.656,5,0.000879,0.205,-7.298,0.0344,150.071,227080,happy
spotify:track:0W4Kpfp1w2xkY3PrV714B7,0.794,0.353,0.685,0.466,0,2.06E-06,0.0915,-9.074,0.0304,79.936,163133,happy
spotify:track:1Bj7N8qzv0KWCxvq4gfOTL,0.0694,0.592,0.559,0.754,5,7.14E-05,0.129,-4.877,0.0259,104.995,198613,happy
spotify:track:5DLmPL4kE9TYd4VGrAXB0D,0.291,0.173,0.348,0.479,0,0.151,0.0988,-10.075,0.029,97.871,285347,happy
spotify:track:7eI7Y41wcPfqzAxqv1jogS,0.765,0.225,0.441,0.283,2,0.0348,0.076,-9.092,0.0304,79.664,275628,happy
spotify:track:5Z1U0knfYnsfvZycgDeOiC,0.239,0.273,0.762,0.387,10,0.00756,0.13,-8.643,0.0277,109.959,239147,happy
spotify:track:1WXVfFRD89EtVURD4Tbixo,0.614,0.523,0.629,0.585,1,0.0725,0.129,-8.563,0.0269,102.984,253848,happy
spotify:track:7DeJ8TdwgNpz6Un0SiskhX,0.334,0.164,0.402,0.476,0,0.0701,0.0947,-8.823,0.0289,86.06,282147,happy
spotify:track:4NP9hWxULyB4OYoUMjazz1,0.175,0.476,0.539,0.831,4,0.00371,0.236,-5.025,0.0459,169.93,305500,happy
spotify:track:6IG4Z0sKhLG7MaXOgPCaa8,0.264,0.525,0.688,0.834,7,0.251,0.0925,-5.515,0.0477,103.989,229093,happy
spotify:track:1pRb7DlOyLPGcBJUJoAKOo,0.79,0.682,0.744,0.432,8,0.0135,0.111,-11.173,0.0383,123.933,206547,happy
spotify:track:1xNknVNOolLB4oQeEtNBX2,0.107,0.797,0.736,0.669,1,0,0.224,-8.305,0.136,86.531,172023,happy
spotify:track:6QTPacyXkZWG9FMwq6L1hJ,0.164,0.822,0.707,0.67,9,0.00283,0.109,-6.137,0.0323,112.993,223120,happy
spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,0.648,0.269,0.6,0.535,4,4.70E-06,0.162,-7.043,0.107,71.912,225133,happy
spotify:track:518miTxc3a15X7HB8FgJUW,0.554,0.656,0.569,0.536,1,0,0.0655,-6.137,0.0819,173.695,209833,happy
spotify:track:2iRniYXjMHKmwXqA2jYXP7,0.0311,0.612,0.871,0.341,3,0.000124,0.0838,-8.932,0.0576,127.001,173386,happy
spotify:track:1tNJrcVe6gwLEiZCtprs1u,0.223,0.877,0.815,0.518,7,0,0.104,-6.594,0.0897,151.891,177667,happy
spotify:track:2VvHa9p1kkTmaCMq0exODA,0.0578,0.927,0.756,0.815,6,2.00E-05,0.387,-5.122,0.046,120.002,192000,happy
spotify:track:3akpDdQJUVckqG4r1bmR25,0.636,0.45,0.674,0.698,5,0.000176,0.172,-6.371,0.0288,105.975,221680,happy
spotify:track:1lwvJQGhdq6Kyr4BBquf23,0.25,0.68,0.787,0.78,7,0,0.0908,-5.023,0.129,95.035,173206,happy
spotify:track:3U2imIBWN0BnTS516Lhjfr,0.541,0.395,0.686,0.654,11,0,0.111,-6.73,0.0472,124.647,208644,happy
